stim_num	turker_label	true_label	is_correct	eventType	iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn
10	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
11	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
12	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
13	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
14	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
15	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
16	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
17	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
18	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
19	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
20	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
21	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
22	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
23	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
24	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
25	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
26	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
27	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
28	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
29	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401599966	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
0	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
1	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
2	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
3	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
4	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
5	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
6	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
7	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
8	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
9	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
10	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
11	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
12	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
13	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
14	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
15	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
16	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
17	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
18	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
19	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
20	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
21	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
22	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
23	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
24	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
25	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
26	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
27	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
28	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
29	true	false	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540401670387	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
0	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
1	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
2	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
3	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
4	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
5	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
6	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
7	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
8	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
9	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
10	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
11	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
12	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
13	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
14	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
15	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
16	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
17	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
18	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
19	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
20	false	true	false	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
21	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
22	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
23	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
24	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
25	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
26	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
27	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402415064	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
0	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
1	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
2	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
3	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
4	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
5	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
6	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
7	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
8	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
9	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
10	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
11	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
12	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
13	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
14	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
15	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
16	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
17	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
18	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
19	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
20	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
21	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
22	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
23	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
24	true	true	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
25	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
26	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
27	false	false	true	logTest	pilot	3609-2b82940d-015f-43e5-b274-f9bec90e3fa7	1540402464617	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json
