stim_num	turker_label	true_label	is_correct	eventType	iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn
0	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
1	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
2	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
3	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
4	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
5	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
6	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
7	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
8	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
9	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
10	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
11	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
12	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
13	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
14	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
15	true	true	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
16	false	false	true	logTest	pilot	4051-927083a2-d3f7-4785-93b9-50b467a2f396	1540409941016	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json
