experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Unfortunately, the only thing I could distingush what a luzak is is that they all had long ruffle tails.	47.474	chatMessage	I	Q
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	But some that were not also did	11.235	chatMessage	I	Q
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	So, not sure how to point these out	20.225	chatMessage	F	O
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Ok, I will see what I can do	17.367	chatMessage	F	O
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	They do have large heads and large eyes	11.65	chatMessage	F	G
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Thanks for the info	4.238	chatMessage	F	A
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	Ok, morseths don't have any leaves at all. They can have little round berries on them but no leaves. They look much more bare than many other tree looking species.	73.365	chatMessage	I	G
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	9	trees without leaves	trees_without_leaves	1	are there any color differences?	4.099	chatMessage	F	?
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	no, they can have color	8.216000000000001	chatMessage	F	G
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	9	trees without leaves	trees_without_leaves	1	can something without leaves not be a morseth?	17.881	chatMessage	F	?
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	doesn't look like it. Everyone that didn't have leaves was a morseth.	25.408	chatMessage	F	Q
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	9	trees without leaves	trees_without_leaves	1	Ok, thanks	1.465	chatMessage	F	A
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	Boy, this one's hard. Ok, the only thing I coud see to what an oller is, they have purple middles and the petals around the purple were different colors. It can have thorns and long growths, just make suer the middle of the flower looking thing is purple and the petals have to be another color	124.421	chatMessage	I	G
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	The petals cannot be purple	9.436	chatMessage	I	G
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	Ok. Anything else?	18.685	chatMessage	F	?
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	can't think of anything	6.566	chatMessage	F	A
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	Can there be no petals?	4.112	chatMessage	F	?
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	they all had petals	5.4479999999999995	chatMessage	F	Q
mp-game-6	pilot	4230-fda03076-53a6-4db6-817e-ac9de1d93a62	1550000000000.0	student	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	Alright, thanks	1.926	chatMessage	F	A
