stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
1	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
2	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
3	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
4	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
5	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
6	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
7	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
8	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
9	false	true	false	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
10	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
11	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
12	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
13	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
14	true	false	false	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
15	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
16	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
17	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
18	true	false	false	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
19	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
20	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
21	true	true	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
22	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
23	false	false	true	logTest	mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702869	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0
