stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
12	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
13	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
14	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
15	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
16	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
17	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
18	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
19	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
20	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
21	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
22	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
23	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
24	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
25	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
26	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
27	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
28	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
29	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
30	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
31	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
32	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
33	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
34	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
35	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
36	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
37	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
38	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
39	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
40	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
41	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
42	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
43	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
44	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
45	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
46	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
47	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
48	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
49	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887524	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
0	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
1	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
2	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
3	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
4	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
5	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
6	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
7	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
8	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
9	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
10	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
11	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
12	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
13	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
14	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
15	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
16	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
17	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
18	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
19	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
20	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
21	true	true	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
22	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
23	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
24	false	false	true	logTest	mp-game-6	pilot	7796-e2ce67e0-c133-488c-97cf-7463a9dd504e	1547844887896	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0
