stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
13	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
14	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
15	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
16	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
17	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
18	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
19	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
20	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
21	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
22	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
23	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
24	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
25	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
26	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
27	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
28	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
29	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
30	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
31	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
32	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
33	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
34	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
35	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
36	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
37	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
38	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
39	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
40	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
41	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
42	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
43	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
44	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
45	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
46	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
47	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
48	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
49	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438758612	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
0	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
1	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
2	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
3	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
4	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
5	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
6	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
7	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
8	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
9	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
10	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
11	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
12	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
13	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
14	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
15	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
16	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
17	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
18	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
19	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
20	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
21	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
22	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
23	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
24	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
25	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
26	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
27	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
28	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
29	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
30	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
31	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
32	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
33	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
34	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
35	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
36	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
37	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
38	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
39	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
40	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
41	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
42	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
43	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
44	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
45	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
46	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
47	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
48	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
49	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438773035	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
0	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
1	true	false	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
2	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
3	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
4	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
5	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
6	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
7	true	true	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
8	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
9	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
10	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
11	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
12	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
13	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
14	true	false	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
15	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
16	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
17	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
18	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
19	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
20	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
21	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
22	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
23	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
24	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
25	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
26	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
27	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
28	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
29	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
30	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
31	false	false	true	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
32	false	true	false	logTest	mp-game-6	pilot	0390-d30a6241-907a-4dd8-98f1-b17e65c57a59	1548438992011	explorer	5	"bugs without wings"	bugs_without_wings	1
