stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
1	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
2	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
3	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
4	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
5	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
6	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
7	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
8	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
9	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
10	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
11	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
12	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
13	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
14	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
15	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
16	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
17	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
18	false	true	false	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
19	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
20	false	false	true	logTest	mp-game-6	pilot	0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	1548096006904	explorer	3	"fish with whiskers"	fish_whiskers	0
