stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
1	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
2	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
3	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
4	false	false	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
5	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
6	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
7	false	false	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
8	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
9	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
10	false	false	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
11	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
12	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
13	true	true	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
14	false	false	true	logTest	mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350169	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0
