stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
1	true	true	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
2	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
3	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
4	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
5	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
6	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
7	true	true	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
8	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
9	true	true	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
10	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
11	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
12	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
13	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
14	false	false	true	logTest	mp-game-6	pilot	2013-1c3e17c2-b4b3-413c-bf71-694066b6f505	1548697202997	student	7	"birds with purple tails"	birds_purple_tails	0
