stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
1	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
2	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
3	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
4	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
5	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
6	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
7	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
8	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
9	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
10	true	true	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
11	true	true	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
12	true	false	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
13	true	true	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
14	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
15	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
16	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
17	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
18	true	true	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
19	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
20	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
21	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
22	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
23	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
24	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
25	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
26	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
27	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
28	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
29	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
30	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
31	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
32	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
33	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
34	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
35	true	true	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
36	true	false	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
37	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
38	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
39	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
40	true	false	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
41	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
42	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
43	true	false	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
44	false	true	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
45	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
46	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
47	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
48	false	false	true	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
49	true	false	false	logTest	mp-game-6	pilot	6645-2af7fe33-806c-49a6-a044-d78d424176b7	1548693391411	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	0
